step,virtual_cumulative_ns,real_cumulative_ns,virtual_delta_ns,real_delta_ns,driver_wall_delta_s
217,21700000000,21699968900,100000000,100002900,0.134008708
218,21800000000,21800016400,100000000,100047500,0.134157083
219,21900000000,21899947600,100000000,99931200,0.133731208
220,22000000000,21999955400,100000000,100007800,0.133821500
221,22100000000,22100026200,100000000,100070800,0.133861750
222,22200000000,22200048100,100000000,100021900,0.133764000
223,22300000000,22300025400,100000000,99977300,0.133699000
224,22400000000,22399954900,100000000,99929500,0.133245833
225,22500000000,22499957200,100000000,100002300,0.133262208
226,22600000000,22600040300,100000000,100083100,0.133470750
227,22700000000,22699996900,100000000,99956600,0.133725791
228,22800000000,22799949700,100000000,99952800,0.133737125
229,22900000000,22900054500,100000000,100104800,0.133945083
230,23000000000,23000031700,100000000,99977200,0.134091792
231,23100000000,23099954100,100000000,99922400,0.133077000
232,23200000000,23199970700,100000000,100016600,0.133468625
233,23300000000,23299974100,100000000,100003400,0.133759916
234,23400000000,23399977400,100000000,100003300,0.133820291
235,23500000000,23500029900,100000000,100052500,0.133885417
236,23600000000,23600011900,100000000,99982000,0.133791750
237,23700000000,23700029100,100000000,100017200,0.133383084
238,23800000000,23799956200,100000000,99927100,0.133944416
239,23900000000,23899952800,100000000,99996600,0.134009916
240,24000000000,24000033200,100000000,100080400,0.133873000
241,24100000000,24099967200,100000000,99934000,0.134754375
242,24200000000,24200040800,100000000,100073600,0.133930792
243,24300000000,24300041800,100000000,100001000,0.133746792
244,24400000000,24399946800,100000000,99905000,0.132867125
245,24500000000,24500019400,100000000,100072600,0.132048417
246,24600000000,24600024600,100000000,100005200,0.132598375
247,24700000000,24699954800,100000000,99930200,0.133440042
248,24800000000,24800033400,100000000,100078600,0.133369667
249,24900000000,24899961400,100000000,99928000,0.133327917
250,25000000000,25000025500,100000000,100064100,0.131921875
251,25100000000,25099970900,100000000,99945400,0.131795750
252,25200000000,25200031200,100000000,100060300,0.133657417
253,25300000000,25300080000,100000000,100048800,0.132110791
254,25400000000,25400024100,100000000,99944100,0.133869833
255,25500000000,25500031900,100000000,100007800,0.133602834
256,25600000000,25602672200,100000000,102640300,0.136427291
257,25700000000,25699969900,100000000,97297700,0.129075041
258,25800000000,25800024500,100000000,100054600,0.132826000
259,25900000000,25900030700,100000000,100006200,0.133846208
260,26000000000,25999946200,100000000,99915500,0.133715917
